Absorption wavelength (nm), Intensity
265.17,0.0045
271.62,0
316.23,0.0463
325.61,0.0575
233.37,0.0073
323.14,0.0926
161.09,0.0061
323.99,0.1112
320.6,0.206
379.78,0.9171
322.68,0.0002
270.38,0.0104
344.43,0.1644
248.53,0.0024
331.62,0.1597
276.49,0.1396
282.94,0.0577
364.4,0.0633
244.56,0.048
211.28,0.1122
319.78,0.2399
261.06,0.0299
375.41,0.0902
255.71,0.0006
261.7,0.4804
339.84,0.0001
290.05,0.1752
243.23,0.0449
253.22,0.0049
301.89,0.3005
262.29,0.1197
260.47,0.0024
455.13,0.0323
260.41,0.0026
333.23,0.0865
292.38,0.0009
256.91,0.0967
312.15,0.0709
259.03,0.013
271.68,0.015
275.82,0.0179
296,0.0271
260.61,0.0808
324.06,0.0438
346.2,0.0127
283.5,0.0063
261.58,0.4838
247.83,0.0503
265.18,0.0282
400.33,0.0032
303.68,0.0002
256.47,0.5941
447.78,0.0005
247.58,0.0275
239.69,0.0034
236.13,0.0131
262.94,0.0061
324.97,0.1696
290.84,0.0998
258.19,0.0203
303.35,0.3152
364.97,0.1449
252.07,0.0121
255.26,0.0149
336.57,0.6402
291.7,0.0774
340.65,0.0133
263.19,0.0042
301.65,0.3053
236.78,0.0037
226.64,0.002
172.56,0.0108
270.61,0.2372
363.39,0.5427
262.12,0.1021
334.76,0.0001
229,0.0001
362.35,0.0008
174.6,0.0024
367.05,0.0008
293.37,0.0048
310.62,0.0588
341.81,0.0027
239.33,0.0268
277.85,0.0008
241.5,0.001
296.81,0.0784
299.87,0.0056
290.33,0.0006
324.52,0
264.97,0.0843
249.61,0.0382
255.98,0.0594
304.98,0.0001
308.4,0
248.64,0.0262
260.43,0.0789
326.09,0.0142
264.82,0.0115
231.83,0.0022
359.74,0.0741
299.56,0.0688
212.72,0.0047
285.69,0.7744
245.92,0.0017
239.81,0.012
279.59,0.1524
304.15,0.0018
316.88,0.1019
266.22,0.0001
274.03,0.0508
295.08,0.0009
264.7,0.0078
280.41,0.0038
254.89,0.378
278.09,0.6903
278.49,0.0854
276.88,0.0624
289.47,0.0005
349.61,0.0012
518.32,0.003
268.31,0.0506
269.33,0.3982
332.56,0.0009
258.57,0.003
217.65,0.1527
273.36,0.0044
259.82,0.0108
179.87,0.0006
261.05,0.0002
289.63,0.0005
260.87,0.0033
257.78,0.0419
258.67,0.0059
262.13,0.4364
299.33,0.0109
289.8,0.0003
254.43,0.0053
387.14,0.0644
325.15,0.0005
