8,32,24,16,10.66666667,8,79,87,8,84.33333333,3.555555556,87,15.9994,72.64,56.6406,34.8796,25.1736,15.9994,54.8,1211.4,1156.6,440.3333333,514.0444444,54.8,14,16,2,15.33333333,0.888888889,16,2,4,2,2.666666667,0.888888889,2,66,120,54,84,24,66,2.01,3.44,1.43,2.963333333,0.635555556,3.44,2,2,0,2,0,2,2,4,2,3.333333333,0.888888889,4,0,10,10,3.333333333,4.444444444,0,0,0,0,0,0,0,6,14,8,8.666666667,3.555555556,6,0,0,0,0,0,0,2,4,2,2.666666667,0.888888889,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2.666666667,0.888888889,2,9.105,23.005,13.9,13.73833333,6.177777778,9.105,0,0.383,0.383,0.127666667,0.170222222,0,0,0,0,0,0,0,12,225,213,83,94.66666667,12
8,51,43,22.33333333,19.11111111,8,85,87,2,86.33333333,0.888888889,87,15.9994,121.76,105.7606,51.25293333,47.00471111,15.9994,54.8,903.78,848.98,337.7933333,377.3244444,54.8,15,16,1,15.66666667,0.444444444,16,2,5,3,3,1.333333333,2,66,139,73,90.33333333,32.44444444,66,2.05,3.44,1.39,2.976666667,0.617777778,3.44,2,2,0,2,0,2,3,4,1,3.666666667,0.444444444,4,0,10,10,3.333333333,4.444444444,0,0,0,0,0,0,0,6,15,9,9,4,6,0,0,0,0,0,0,2,3,1,2.333333333,0.444444444,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.333333333,0.444444444,2,9.105,31.56,22.455,16.59,9.98,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,166,154,63.33333333,68.44444444,12
5,8,3,6.8,1.44,8,72,87,15,81,7.2,87,10.811,15.9994,5.1884,13.92404,2.490432,15.9994,54.8,2348,2293.2,972.08,1100.736,54.8,13,16,3,14.8,1.44,16,2,2,0,2,0,2,66,84,18,73.2,8.64,66,2.04,3.44,1.4,2.88,0.672,3.44,2,2,0,2,0,2,1,4,3,2.8,1.44,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4.8,1.44,6,0,0,0,0,0,0,2,5,3,3.2,1.44,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3.2,1.44,2,7.1725,9.105,1.9325,8.332,0.9276,9.105,0,1.524,1.524,0.6096,0.73152,0,0,0,0,0,0,0,12,166,154,73.6,73.92,12
8,72,64,29.33333333,28.44444444,8,45,87,42,73,18.66666667,87,15.9994,178.49,162.4906,70.16293333,72.21804444,15.9994,54.8,2506,2451.2,871.8666667,1089.422222,54.8,4,16,12,12,5.333333333,16,2,6,4,3.333333333,1.777777778,2,66,175,109,102.3333333,48.44444444,66,1.3,3.44,2.14,2.726666667,0.951111111,3.44,2,2,0,2,0,2,0,4,4,2.666666667,1.777777778,4,0,2,2,0.666666667,0.888888889,0,0,14,14,4.666666667,6.222222222,0,6,18,12,10,5.333333333,6,0,0,0,0,0,0,0,2,2,1.333333333,0.888888889,2,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,8,6,4,2.666666667,2,9.105,22.2,13.095,13.47,5.82,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,72.66666667,80.88888889,12
8,29,21,22,9.333333333,29,64,87,23,71.66666667,10.22222222,64,15.9994,63.546,47.5466,47.69713333,21.13182222,63.546,54.8,1357.77,1302.97,923.4466667,579.0977778,1357.77,11,16,5,12.66666667,2.222222222,11,2,4,2,3.333333333,0.888888889,4,66,132,66,110,29.33333333,132,1.9,3.44,1.54,2.413333333,0.684444444,1.9,1,2,1,1.333333333,0.444444444,1,0,4,4,1.333333333,1.777777778,0,0,10,10,6.666666667,4.444444444,10,0,0,0,0,0,0,6,11,5,9.333333333,2.222222222,11,0,1,1,0.666666667,0.444444444,1,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.333333333,0.444444444,1,9.105,11.07,1.965,10.415,0.873333333,11.07,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,154,94.66666667,225
8,90,82,35.33333333,36.44444444,8,16,87,71,63.33333333,31.55555556,87,15.9994,232.03806,216.03866,88.01228667,96.01718222,15.9994,54.8,2023,1968.2,710.8666667,874.7555556,54.8,3,16,13,11.66666667,5.777777778,16,2,7,5,3.666666667,2.222222222,2,66,206,140,112.6666667,62.22222222,66,1.3,3.44,2.14,2.726666667,0.951111111,3.44,2,2,0,2,0,2,0,4,4,2.666666667,1.777777778,4,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,4,6,2,5.333333333,0.888888889,6,0,0,0,0,0,0,0,2,2,1.333333333,0.888888889,2,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,8,6,4,2.666666667,2,9.105,32.37,23.265,16.86,10.34,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,83,94.66666667,12
8,32,24,16,10.66666667,8,79,87,8,84.33333333,3.555555556,87,15.9994,72.64,56.6406,34.8796,25.1736,15.9994,54.8,1211.4,1156.6,440.3333333,514.0444444,54.8,14,16,2,15.33333333,0.888888889,16,2,4,2,2.666666667,0.888888889,2,66,120,54,84,24,66,2.01,3.44,1.43,2.963333333,0.635555556,3.44,2,2,0,2,0,2,2,4,2,3.333333333,0.888888889,4,0,10,10,3.333333333,4.444444444,0,0,0,0,0,0,0,6,14,8,8.666666667,3.555555556,6,0,0,0,0,0,0,2,4,2,2.666666667,0.888888889,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2.666666667,0.888888889,2,9.105,23.005,13.9,13.73833333,6.177777778,9.105,0,0.383,0.383,0.127666667,0.170222222,0,0,0,0,0,0,0,12,225,213,83,94.66666667,12
8,50,42,22,18.66666667,8,80,87,7,84.66666667,3.111111111,87,15.9994,118.71,102.7106,50.23626667,45.64915556,15.9994,54.8,505.08,450.28,204.8933333,200.1244444,54.8,14,16,2,15.33333333,0.888888889,16,2,5,3,3,1.333333333,2,66,139,73,90.33333333,32.44444444,66,1.96,3.44,1.48,2.946666667,0.657777778,3.44,2,2,0,2,0,2,2,4,2,3.333333333,0.888888889,4,0,10,10,3.333333333,4.444444444,0,0,0,0,0,0,0,6,14,8,8.666666667,3.555555556,6,0,0,0,0,0,0,2,4,2,2.666666667,0.888888889,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2.666666667,0.888888889,2,9.105,33.285,24.18,17.165,10.74666667,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,141,129,55,57.33333333,12
8,31,23,17.2,11.04,8,74,87,13,81.8,6.24,87,15.9994,69.723,53.7236,37.48884,25.787328,15.9994,54.8,302.91,248.11,154.044,119.0928,54.8,13,16,3,14.8,1.44,16,2,4,2,2.8,0.96,2,66,122,56,88.4,26.88,66,1.81,3.44,1.63,2.788,0.7824,3.44,2,2,0,2,0,2,1,4,3,2.8,1.44,4,0,10,10,4,4.8,0,0,0,0,0,0,0,6,13,7,8.8,3.36,6,0,0,0,0,0,0,2,5,3,3.2,1.44,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3.2,1.44,2,9.105,18.8575,9.7525,13.006,4.6812,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,64,52,32.8,24.96,12
8,19,11,15.33333333,4.888888889,19,3,87,84,31,37.33333333,3,15.9994,39.0983,23.0989,31.39866667,10.26617778,39.0983,54.8,336.53,281.73,242.62,125.2133333,336.53,1,16,15,6,6.666666667,1,2,4,2,3.333333333,0.888888889,4,66,203,137,157.3333333,60.88888889,203,0.82,3.44,2.62,1.693333333,1.164444444,0.82,1,2,1,1.333333333,0.444444444,1,0,4,4,1.333333333,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,2.666666667,2.222222222,1,0,1,1,0.666666667,0.444444444,1,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.333333333,0.444444444,1,9.105,73.10666667,64.00166667,51.77277778,28.44518519,73.10666667,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,156.6666667,96.44444444,229
8,13,5,10,2.4,8,73,87,14,81.4,6.72,87,15.9994,26.9815386,10.9821386,20.39225544,5.271426528,15.9994,54.8,933.47,878.67,406.268,421.7616,54.8,13,16,3,14.8,1.44,16,2,3,1,2.4,0.48,2,66,121,55,88,26.4,66,1.61,3.44,1.83,2.708,0.8784,3.44,2,2,0,2,0,2,1,4,3,2.8,1.44,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4.8,1.44,6,0,0,0,0,0,0,2,5,3,3.2,1.44,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3.2,1.44,2,9.105,16.48,7.375,12.055,3.54,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,97.2,102.24,12
8,80,72,44,36,8,71,87,16,79,8,71,15.9994,200.59,184.5906,108.2947,92.2953,15.9994,54.8,234.32,179.52,144.56,89.76,54.8,12,16,4,14,2,12,2,6,4,4,2,2,66,132,66,99,33,66,2,3.44,1.44,2.72,0.72,2,2,2,0,2,0,2,0,4,4,2,2,0,0,10,10,5,5,0,0,14,14,7,7,0,6,26,20,16,10,6,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,9.105,25.23758621,16.13258621,17.1712931,8.066293103,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,166,154,89,77,12
8,12,4,10,2,8,68,87,19,77.5,9.5,68,15.9994,24.305,8.3056,20.1522,4.1528,15.9994,54.8,923,868.2,488.9,434.1,54.8,2,16,14,9,7,2,2,3,1,2.5,0.5,2,66,141,75,103.5,37.5,66,1.31,3.44,2.13,2.375,1.065,1.31,2,2,0,2,0,2,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,2,2,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,9.105,22.89,13.785,15.9975,6.8925,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,103,91,12
8,78,70,31.33333333,31.11111111,8,63,87,24,79,10.66666667,87,15.9994,195.084,179.0846,75.69426667,79.59315556,15.9994,54.8,2041.4,1986.6,717,882.9333333,54.8,10,16,6,14,2.666666667,16,2,6,4,3.333333333,1.777777778,2,66,136,70,89.33333333,31.11111111,66,2.28,3.44,1.16,3.053333333,0.515555556,3.44,1,2,1,1.666666667,0.444444444,2,0,4,4,2.666666667,1.777777778,4,0,9,9,3,4,0,0,14,14,4.666666667,6.222222222,0,6,24,18,12,8,6,0,1,1,0.333333333,0.444444444,0,0,2,2,1.333333333,0.888888889,2,0,1,1,0.333333333,0.444444444,0,0,0,0,0,0,0,2,2,0,2,0,2,9.105,15.02,5.915,11.07666667,2.628888889,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,83,94.66666667,12
8,56,48,32,24,8,9,87,78,48,39,9,15.9994,137.327,121.3276,76.6632,60.6638,15.9994,54.8,1000,945.2,527.4,472.6,54.8,2,16,14,9,7,2,2,6,4,4,2,2,66,215,149,140.5,74.5,66,0.89,3.44,2.55,2.165,1.275,0.89,2,2,0,2,0,2,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,2,2,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,9.105,63.59,54.485,36.3475,27.2425,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,120.5,108.5,12
8,51,43,20.28571429,17.55102041,8,85,87,2,86.42857143,0.816326531,87,15.9994,121.76,105.7606,46.21671429,43.16759184,15.9994,54.8,903.78,848.98,297.3657143,346.522449,54.8,15,16,1,15.71428571,0.408163265,16,2,5,3,2.857142857,1.224489796,2,66,139,73,86.85714286,29.79591837,66,2.05,3.44,1.39,3.042857143,0.567346939,3.44,2,2,0,2,0,2,3,4,1,3.714285714,0.408163265,4,0,10,10,2.857142857,4.081632653,0,0,0,0,0,0,0,6,15,9,8.571428571,3.673469388,6,0,0,0,0,0,0,2,3,1,2.285714286,0.408163265,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.285714286,0.408163265,2,9.105,31.56,22.455,15.52071429,9.165306122,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,166,154,56,62.85714286,12
